"Story","Title","Result","Date","Stability","Duration (s)"
"Calculate Tips for Amounts","Calculate Tips using default Percentage","SUCCESS","2019-11-04T05:27:07.704+01:00[Europe/Paris]","0.0","40.04"
"Calculate Tips for Amounts","Calculate Tips using a defined Percentage","SUCCESS","2019-11-04T05:27:47.744+01:00[Europe/Paris]","0.0","82.9"
