"Story","Title","Result","Date","Stability","Duration (s)"
"Calculate Tips for Amounts","Calculate Tips using default Percentage","SUCCESS","2019-11-01T18:58:12.623+01:00[Europe/Paris]","0.0","64.34"
"Calculate Tips for Amounts","Calculate Tips using a defined Percentage","SUCCESS","2019-11-01T18:59:16.962+01:00[Europe/Paris]","0.0","143.71"
